E(MeV)  pendfb7/In113:1
1.65189429e-06  176.442461
1.65226119e-06  177.326528
1.65372879e-06  180.863334
1.6555633e-06  185.457852
1.65739781e-06  190.234775
1.65923231e-06  195.20353
1.65959921e-06  196.237656
1.66106681e-06  200.374795
1.66290132e-06  205.758732
1.66449123e-06  210.618711
1.66473583e-06  211.366518
1.66657034e-06  217.21072
1.66840484e-06  223.303111
1.66938324e-06  226.691878
1.67023934e-06  229.657535
1.6720127e-06  236.062568
1.67305226e-06  239.974702
1.67375548e-06  242.621531
1.67549826e-06  249.456283
1.67672126e-06  254.455585
1.67724105e-06  256.580814
1.67898382e-06  264.010461
1.6807266e-06  271.759821
1.68161327e-06  275.873382
1.68246938e-06  279.845959
1.68405928e-06  287.545596
1.68421216e-06  288.286081
1.68595494e-06  297.098238
1.68650528e-06  300.00395
1.68769772e-06  306.300892
1.68919589e-06  314.563723
1.68944049e-06  315.913015
1.6906635e-06  322.914386
1.6918865e-06  330.134025
1.69310951e-06  337.580612
1.69390446e-06  342.572372
1.69433251e-06  345.260659
1.69555552e-06  353.18227
1.69592241e-06  355.633212
1.69677852e-06  361.353244
1.69800152e-06  369.780991
1.69806267e-06  370.215596
1.69922452e-06  378.474647
1.70044753e-06  387.489727
1.70087558e-06  390.645524
1.70203744e-06  399.574963
1.70252664e-06  403.335326
1.70414712e-06  416.318678
1.7041777e-06  416.563728
1.70570645e-06  429.330394
1.70582875e-06  430.351882
1.70726578e-06  442.857282
1.7074798e-06  444.720025
1.70864166e-06  455.189635
1.70882511e-06  456.891843
1.70986466e-06  466.539169
1.71038444e-06  471.508957
1.71108766e-06  478.233742
1.71194376e-06  486.666532
1.71231066e-06  490.281229
1.71353367e-06  502.689356
1.71377827e-06  505.244227
1.71475667e-06  515.465687
1.71561277e-06  524.670778
1.71597967e-06  528.616471
1.71683577e-06  538.089034
1.71720267e-06  542.149253
1.71805878e-06  551.893503
1.71842568e-06  556.070133
1.71928178e-06  566.089907
1.71964868e-06  570.384691
1.72050478e-06  580.683801
1.72087169e-06  585.098444
1.72172778e-06  595.75094
1.72270619e-06  607.927197
1.72295079e-06  611.09342
1.72417379e-06  626.926748
1.7245407e-06  631.677563
1.7253968e-06  643.19436
1.7263752e-06  656.358308
1.7266198e-06  659.773313
1.72784281e-06  676.850922
1.72820971e-06  681.974918
1.72906581e-06  694.364932
1.73004421e-06  708.527022
1.73028881e-06  712.19083
1.73151181e-06  730.512535
1.73187871e-06  736.009868
1.73273482e-06  749.263384
1.73371322e-06  764.412326
1.73395782e-06  768.319004
1.73518083e-06  787.855422
1.73554772e-06  793.717018
1.73640383e-06  807.801271
1.73738222e-06  823.899597
1.73762684e-06  828.036521
1.73884984e-06  848.722487
1.73921673e-06  854.929034
1.74007284e-06  869.903063
1.74129584e-06  891.297414
1.74227424e-06  908.415428
1.74251885e-06  912.839512
1.74374185e-06  934.962227
1.74472025e-06  952.662976
1.74496486e-06  957.200702
1.74618786e-06  979.891639
1.74716626e-06  998.046989
1.74741087e-06  1002.68065
1.74863387e-06  1025.85128
1.74961227e-06  1044.39037
1.74985687e-06  1049.09927
1.75107987e-06  1072.647
1.75205827e-06  1091.48774
1.75230288e-06  1096.25997
1.75413738e-06  1132.05612
1.75597188e-06  1167.85923
1.75780639e-06  1203.66928
1.75964089e-06  1239.48562
1.76086389e-06  1263.36662
1.76125525e-06  1271.00962
1.7628207e-06  1301.03581
1.76448398e-06  1332.94371
1.7647775e-06  1338.41596
1.76673431e-06  1374.90346
1.76751703e-06  1389.50037
1.76869111e-06  1410.69536
1.76947384e-06  1424.8276
1.77143065e-06  1459.02261
1.77162632e-06  1462.30976
1.77338745e-06  1491.89985
1.77456153e-06  1510.72236
1.77534426e-06  1523.27193
1.77730106e-06  1552.95693
1.77925787e-06  1580.7771
1.78121467e-06  1606.563
1.78238876e-06  1620.71821
1.78317148e-06  1630.15348
1.78463908e-06  1646.3147
1.78532397e-06  1653.21443
1.78610669e-06  1661.09748
1.78757429e-06  1674.4482
1.78825917e-06  1679.98842
1.78904189e-06  1686.31695
1.7905095e-06  1696.66053
1.79119438e-06  1700.75919
1.7919771e-06  1705.44017
1.79306313e-06  1710.75619
1.79344471e-06  1712.6226
1.79484383e-06  1717.92218
1.79491231e-06  1718.1813
1.79637991e-06  1722.09475
1.79662452e-06  1722.49537
1.79759313e-06  1724.07757
1.79840521e-06  1724.5709
1.79904117e-06  1724.95307
1.80054791e-06  1724.14026
1.80156544e-06  1722.44157
1.80197638e-06  1721.75252
1.80340485e-06  1717.79617
1.80352225e-06  1717.34399
1.80483332e-06  1712.28634
1.80547906e-06  1709.10616
1.80626178e-06  1705.24645
1.80743587e-06  1698.20898
1.80772939e-06  1696.44773
1.80919699e-06  1686.09479
1.80939267e-06  1684.51352
1.8106646e-06  1674.22746
1.81100704e-06  1671.11721
1.8121322e-06  1660.89153
1.8126214e-06  1655.97528
1.8135998e-06  1646.13725
1.81423577e-06  1639.15482
1.81506741e-06  1630.01937
1.81585013e-06  1620.61867
1.81702421e-06  1606.5107
1.81757457e-06  1599.29147
1.81898102e-06  1580.83413
1.819299e-06  1576.33716
1.82093782e-06  1553.1506
1.82102344e-06  1551.8603
1.82274787e-06  1525.86295
1.82284571e-06  1524.38735
1.8244723e-06  1498.53114
1.82470468e-06  1494.83542
1.82656365e-06  1463.93231
1.82754204e-06  1447.04567
1.82842261e-06  1431.84082
1.82920533e-06  1417.79997
1.83086861e-06  1387.95487
1.83121106e-06  1381.80808
1.83336354e-06  1341.79908
1.83399951e-06  1329.97379
1.83585847e-06  1294.56522
1.83678795e-06  1276.85521
1.83835339e-06  1246.51629
1.84075048e-06  1200.04645
1.84314757e-06  1153.56499
1.84554466e-06  1107.0732
1.84598493e-06  1098.53246
1.84794174e-06  1061.15675
1.84965395e-06  1028.44615
1.85161076e-06  991.838014
1.85209996e-06  982.68418
1.85454596e-06  937.913163
1.85527977e-06  924.829387
1.85699197e-06  894.295898
1.85882648e-06  862.423826
1.86017178e-06  839.619857
1.86066098e-06  831.326574
1.86249549e-06  801.04183
1.86432999e-06  771.604758
1.8661645e-06  743.040322
1.867999e-06  715.367554
1.86983351e-06  688.598761
1.87166802e-06  662.741063
1.87240181e-06  652.763333
1.87350252e-06  637.797931
1.87533702e-06  613.765836
1.87717153e-06  590.63656
1.87729382e-06  589.154213
1.87900603e-06  568.403135
1.88084054e-06  547.047908
1.88218584e-06  532.018997
1.88267504e-06  526.555046
1.88450954e-06  506.907034
1.88585485e-06  493.10005
1.88634405e-06  488.080423
1.88817856e-06  470.054149
1.88952386e-06  457.401884
1.89001306e-06  452.802175
1.89184757e-06  436.300917
1.89319288e-06  424.729206
1.89368207e-06  420.522569
1.89551658e-06  405.442426
1.89686188e-06  394.873863
1.89735108e-06  391.031894
1.89918559e-06  377.266018
1.9005309e-06  367.621979
1.9010201e-06  364.11621
1.9028546e-06  351.558157
1.90419991e-06  342.761465
1.9046891e-06  339.563847
1.90624844e-06  329.794549
1.90780776e-06  320.398312
1.90780777e-06  320.398254
1.90936709e-06  311.363345
1.91092642e-06  302.671966
1.91129332e-06  300.704477
1.91248575e-06  294.312459
1.91404508e-06  286.269555
1.91477888e-06  282.627111
1.91560441e-06  278.530885
1.91716373e-06  271.083572
1.91826444e-06  266.022563
1.91872307e-06  263.914749
1.92028239e-06  257.014079
1.92193345e-06  249.984478
1.92291185e-06  245.98882
1.92376795e-06  242.494516
1.92560246e-06  235.325816
1.92743697e-06  228.460088
1.92768156e-06  227.583047
1.92927147e-06  221.88533
1.93110597e-06  215.584122
1.93257358e-06  210.7505
1.93294048e-06  209.542811
1.93477499e-06  203.750463
1.9366095e-06  198.191851
1.93746559e-06  195.701478
1.938444e-06  192.856994
1.9402785e-06  187.734555
1.94211301e-06  182.812516
1.94235761e-06  182.18165
1.94394752e-06  178.083536
1.94578202e-06  173.536125
1.94724962e-06  170.036044
1.94761653e-06  169.161532
1.94945103e-06  164.953044
1.95128554e-06  160.900593
1.95214164e-06  159.078806
1.95312004e-06  156.998056
1.95495454e-06  153.238205
1.95703365e-06  149.178753
1.95801205e-06  147.269606
1.96045805e-06  142.747348
1.96192566e-06  140.158848
1.96290406e-06  138.434263
1.96535007e-06  134.318418
1.96681767e-06  131.959346
1.96779608e-06  130.387818
1.97024208e-06  126.632301
1.97268809e-06  123.040014
1.97415569e-06  120.977004
1.9751341e-06  119.602931
1.97758011e-06  116.313012
1.98002611e-06  113.160259
1.98149372e-06  111.34636
1.98247212e-06  110.138226
1.98491813e-06  107.240452
1.98736414e-06  104.458678
1.98883174e-06  102.855532
